32	58
1	行政楼	位于学校正门,是学校部份机关部门、直属附属单位办公场所,涉及到学生事务的部门有教务处、计财处等
2	经管楼	位于行政楼北侧,经济与管理学院、安全工程学院、马克思主义学院在此办公
3	逸夫馆	位于学校西北角经管楼北侧,电子信息工程学院在这里，二楼为理学院的物理实验室
4	工程训练中心	位于逸夫馆北侧,三楼为计算机机房,计算机相关作业选课等事项可在此进行
5	航空宇航馆	位于逸夫馆东南侧,航空字航学院、航空发动机学院民用航空学院办公楼
6	综合教学楼	位于学校中心,分为ABC座,外国语学院、理学院在这里办公,是学生集中上课地点,大多数"小班制管理模式"的自习教室分布在此楼
7	图书馆	位于学校展翼大道音乐喷泉的后面,是书刊查阅、借阅资科索引,下载、读书学习集中地,各类学术讲座及学术论坛经常在二楼国内报告厅及国际报告厅举行
8	机械馆	位于图书馆的西侧，机电工程学院、自动化学院、材料科学与工程学院在此办公
9	艺术馆	位于体育馆西侧，设计艺术学院（一到四楼)．计算机学院(五楼）在此办公
10	体育馆	主要有羽毛球馆、篮球馆、游泳馆、健身房、台球馆、乒乓球馆等
11	综合体育	室内有百米跑道、形体馆、乒乓球馆等
12	大学生活动中心	学生处、招生就业处、校团委、校史馆、校学生会联合会、校社团联合会、校大学生艺术团、网络思政中心、爱心联合会等在此办公
13	蓝天剧场	我校大型会议及文艺活动举办场所，可容纳1000人左右
14	大学生飞行器创新实践基地	该基地是学校对外展示形象的窗口，通过开展和参与各类科普教育和科研创新活动，为社会输送了大量的优秀人才
15	辽美二号教学楼	位于大学生飞行器创新实践基地的南侧，创新创业学院、继续教育学院在这里办公
16	国际工程师学院	是为培养工程专业国际化人才而设立的学院
17	南区足球场	位于2号教学楼东侧,南区生活区西侧楼下,是晨练及比赛的好去处
18	南区食堂	位于南生活区中心,汇聚南北各类风味菜肴,学生就餐采用校园一卡通或微信支付消费,一楼有一卡通自动充值机,四楼为教工餐厅
19	国际教育学院	位于南生活区南10栋西侧,是外教楼、留学生宿舍楼
20	南区篮球场	位于友谊会馆北侧,是平日锻炼身体、团体比赛的好去处
21	校医院	位于学校南生活区南三栋北侧,8点准时开门,22:30以后看病需按门铃,星期一至星期五可做B超、心电图等
22	南区学生公寓	这里是学生日常生活的重要场所,同时也是对学生进行思想政治教育工作和素质教育工作的重要阵地
23	网球场	位于大学生活动中心的东侧,这里免费向同学们开放
24	北区食堂	位于学校网球场的北侧,一楼设有自助餐厅、超市、电信营业厅,二楼和三楼设有很多地方风味小吃档口
25	北区学生公寓	由学校和龙源物业公司合作管理,其它与南区学生公寓相同
26	北区运动场	这里有篮球场，排球场，也是运动会大部分田赛的比赛场地
27	通航实验楼	辽宁通用航空研究院在这里,是由学校与沈阳飞机计研究所、空气动力研究院等单位组建的开放式科研单位
28	重点学科实验室	航空制造工艺数字化国防重点学科实验室位于此处，是航空制造企业的应用技术研究平台和创新型人才培养基地，能源与环境学院在B座办公
29	总务部	学校后勤、基建处等在此办公
30	蒲新教师公寓	舒适的教职工之家
31	蒲昌教师公寓	舒适的教职工之家
32	航空工程综合实践教学基地	分为航空工程综合
1   	2   	105 
1   	5   	160 
1   	6   	320 
1   	7   	440 
2   	3   	120 
2   	5   	150 
2   	6   	280 
3   	4   	80  
3   	5   	110 
3   	8   	330 
4   	8   	330 
4   	32  	100 
5   	6   	162 
5   	7   	180 
5   	8   	280 
6   	7   	245 
6   	22  	436 
7   	8   	110 
7   	9   	290 
7   	10  	395 
7   	11  	530 
7   	13  	404 
8   	9   	177 
8   	32  	350 
9   	10  	150 
9   	32  	300 
10  	11  	260 
10  	12  	430 
11  	12  	170 
11  	23  	270 
11  	24  	170 
11  	25  	300 
12  	13  	150 
12  	23  	350 
12  	24  	250 
13  	18  	340 
14  	15  	100 
14  	16  	100 
14  	22  	100 
15  	16  	100 
15  	22  	100 
16  	17  	100 
16  	22  	100 
17  	18  	170 
17  	22  	100 
18  	19  	150 
18  	20  	140 
19  	20  	150 
19  	31  	650 
20  	21  	140 
23  	24  	80  
24  	25  	150 
24  	26  	130 
25  	26  	150 
26  	27  	190 
27  	28  	178 
28  	29  	276 
29  	30  	120 
